"L5W","L55G","L2W","L25G","Control","TA1","TA2","TA3","TA4","PS1","PS2","PS3","PS4","PS5","TT1","TT2","TT3","TT4","EE1","EE2","EE3","EE4","PE1","PE2","PE3","BI1","BI2","BI3","gender","age","occupation","TA","PS","TT","EE","PE","BI","PS3_rev","Text","Level","Network","sentiment","TOPIC1","TOPIC2","TOPIC3","TOPIC4","TOPIC5","TOPIC6"
"","Je pense être moyennement maître: je serai toujours celui qui la commande lui dit où aller mais je ne pourrai pas gérer comment elle le fait. La 5G semble être un réseau puissant et rapide mais j'aurai toujours peur de la perte de réseau et de comment la voiture le gérerai. ","","",2,5,2,5,2,3,2,5,6,4,3,3,3,3,2,2,2,2,2,3,4,3,4,4,1,24,1,4,3.33333333333333,3,2,3,3.66666666666667,2," Je pense être moyennement maître: je serai toujours celui qui la commande lui dit où aller mais je ne pourrai pas gérer comment elle le fait. La 5G semble être un réseau puissant et rapide mais j'aurai toujours peur de la perte de réseau et de comment la voiture le gérerai.   ","Level5","5G",0,0.0214285714285714,0.235714285714286,0,0.171428571428571,0,0.571428571428571
"","","","Oui je reste maître du véhicule. Cela permet de assurer la sécurité des passagers. C'est de l'internet rapide qui permet de connecter véhicule à IOT.",1,6,3,6,6,2,2,6,3,1,3,1,1,1,2,2,2,2,1,1,3,3,3,3,1,52,2,6,3.33333333333333,1.5,2,1.66666666666667,3,1,"   Oui je reste maître du véhicule. Cela permet de assurer la sécurité des passagers. C'est de l'internet rapide qui permet de connecter véhicule à IOT.","Level2","5G",4,1,0,0,0,0,0
"","En aucun cas. On peut etre connecté en 5 g et avoir un vehicule autonome pour olus de sécurité mais en aucun cas ne pas pouvoir reprendre le controle du véhicule","","",7,4,4,5,1,3,3,3,2,2,3,3,5,4,3,3,3,3,3,4,3,5,5,5,1,57,2,3.33333333333333,3,3.75,3,3.33333333333333,5,4," En aucun cas. On peut etre connecté en 5 g et avoir un vehicule autonome pour olus de sécurité mais en aucun cas ne pas pouvoir reprendre le controle du véhicule  ","Level5","5G",-1,0.5,0.5,0,0,0,0
"","","oui je me sens maitre et c'est un des modes de connexion parmi d'autres avec la 5G etc.......100 caractères c'est beaucoup","",1,7,7,7,7,1,1,6,5,2,3,2,2,2,2,3,3,3,1,1,1,2,2,3,1,53,2,7,2.66666666666667,2.25,2.75,1,2.33333333333333,1,"  oui je me sens maitre et c'est un des modes de connexion parmi d'autres avec la 5G etc.......100 caractères c'est beaucoup ","Level2","wifi",1,0,0,0.0166666666666667,0,0.633333333333333,0.35
"","Je ne suis pas maitre du vehicule mais c'est le principe, cela ne me derange pas, j'ai confiance si les autres voitures ont le meme systeme","","",7,7,5,6,6,4,2,7,7,7,1,1,1,1,2,4,2,2,1,2,4,2,4,3,2,22,1,6.33333333333333,4.33333333333333,1,2.5,2.33333333333333,3,0," Je ne suis pas maitre du vehicule mais c'est le principe, cela ne me derange pas, j'ai confiance si les autres voitures ont le meme systeme  ","Level5","5G",1,0,0,0,0,0.575,0.425
"","","","Je pense être main de mon véhicule car celui-ci n’est « connecté » seulement pour un changement de direction, sortie de route, gps ou feux rouges. J’ai la main sur le volant et les pédales. Dans ce sens, l’IA est une aide à ma conduite. Être connecté via la 5G demande d’avoir le réseau sur l’ensemble du territoire, qui peut être problématique pour les routes de campagnes encore trop peu reliées au réseau.  ",1,3,6,5,2,5,3,2,2,4,3,3,5,3,6,3,3,3,3,6,6,4,4,4,2,22,1,3.33333333333333,3.33333333333333,3.5,3.75,5,4,5,"   Je pense être main de mon véhicule car celui-ci n’est « connecté » seulement pour un changement de direction, sortie de route, gps ou feux rouges. J’ai la main sur le volant et les pédales. Dans ce sens, l’IA est une aide à ma conduite. Être connecté via la 5G demande d’avoir le réseau sur l’ensemble du territoire, qui peut être problématique pour les routes de campagnes encore trop peu reliées au réseau.  ","Level2","5G",2,0,0,0.271428571428571,0.714285714285714,0.0142857142857143,0
"","Je ne suis pas maitre de mon véhicule, par définition. Etre connecté via la 5G est intéressant car efficace cependant cela crée une dépendance risquée: que se passe t il dans les zones dans 5G ? tout dépend du role de la connectivité : loisir ou aide à la conduite ?","","",6,2,3,2,4,3,5,3,4,4,5,4,4,4,5,4,3,4,3,3,2,4,7,3,1,35,2,2.66666666666667,3.66666666666667,4.25,4,2.66666666666667,4.66666666666667,4," Je ne suis pas maitre de mon véhicule, par définition. Etre connecté via la 5G est intéressant car efficace cependant cela crée une dépendance risquée: que se passe t il dans les zones dans 5G ? tout dépend du role de la connectivité : loisir ou aide à la conduite ?  ","Level5","5G",5,0,0,0,0,0.25,0.75
"Non je ne me sentirais pas du tout maître de mon véhicule. Le fait qu'une intelligence artificielle prenne le contrôle de ma voiture ne me rassure pas du tout. Ce qui ne me rassure pas, c'est cette idée que les intelligences artificielles peuvent contrôler notre monde et prendre le pouvoir. Le fait d'être connectée via le Wifi n'est pas non plus rassurant. Il y a beaucoup de problème de réseau donc que ce passera t'il s'il y a un problème de wifi et plus aucune connexion ? Je n'aime pas du tout ê","","","",7,1,7,1,1,5,3,3,2,3,6,4,6,7,3,5,3,3,4,3,7,6,7,7,2,24,1,1,3.66666666666667,5.75,3.5,4.66666666666667,6.66666666666667,4,"Non je ne me sentirais pas du tout maître de mon véhicule. Le fait qu'une intelligence artificielle prenne le contrôle de ma voiture ne me rassure pas du tout. Ce qui ne me rassure pas, c'est cette idée que les intelligences artificielles peuvent contrôler notre monde et prendre le pouvoir. Le fait d'être connectée via le Wifi n'est pas non plus rassurant. Il y a beaucoup de problème de réseau donc que ce passera t'il s'il y a un problème de wifi et plus aucune connexion ? Je n'aime pas du tout ê   ","Level5","wifi",1,0,0,0.757894736842105,0.242105263157895,0,0
"Non je ne pense pas être maître de mon véhicule à 100%. Être connectée via le Wifi peut être intéressant mais que se passe t’il en cas de panne ","","","",5,4,3,2,5,2,3,4,2,3,4,3,3,3,3,3,3,3,3,4,4,6,6,6,2,26,2,3.66666666666667,3,3.25,3,3.66666666666667,6,3,"Non je ne pense pas être maître de mon véhicule à 100%. Être connectée via le Wifi peut être intéressant mais que se passe t’il en cas de panne    ","Level5","wifi",-2,0,0.5,0,0,0,0.5
"","Je pense que l'on perd totalement la maîtrise du véhicule. Je ne me sentirai pas en sécurité.Le fait d'être connecté via la 5G me déplaît également. Surveillé à tout moment. ","","",7,1,5,1,1,6,6,1,1,4,6,6,7,6,3,5,3,3,7,7,7,7,7,7,2,24,2,1,4.33333333333333,6.25,3.5,7,7,6," Je pense que l'on perd totalement la maîtrise du véhicule. Je ne me sentirai pas en sécurité.Le fait d'être connecté via la 5G me déplaît également. Surveillé à tout moment.   ","Level5","5G",0,1,0,0,0,0,0
"","","","Oui et non. En grande partie mais je pense que nous ne maîtrisons pas les dysfonctionnements et ne pouvons pas anticiper chacune des situations. ",4,5,3,4,4,3,3,4,3,3,3,3,4,3,4,3,3,3,2,2,2,3,3,3,2,24,2,4.33333333333333,3.33333333333333,3.25,3.25,2,3,3,"   Oui et non. En grande partie mais je pense que nous ne maîtrisons pas les dysfonctionnements et ne pouvons pas anticiper chacune des situations. ","Level2","5G",-1,0,0,1,0,0,0
"Je ne pense pas être mairee de mon véhicule vu qu'il contrôle absolument tout les mouvements de la voitu. Être connecté via le wifi ne pose aucun problème en mon sens au premier abord re ","","","",7,5,7,6,6,1,1,5,5,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,1,21,1,5.66666666666667,2.33333333333333,2,1,1,1.66666666666667,2,"Je ne pense pas être mairee de mon véhicule vu qu'il contrôle absolument tout les mouvements de la voitu. Être connecté via le wifi ne pose aucun problème en mon sens au premier abord re    ","Level5","wifi",3,0,0.025,0.525,0.425,0,0.025
"","","","Je pense pas être maître du véhicule du fait de sa communication avec les autres voitures il dispose de plus d’informations  que moi . Et je pense que la 5g n’améliorera pas la vie humaine et nous rendra dépendants de l’informatique et l’humanité développera une addition encore plus grande sur la technologie et sera encore un moyen de suprématie pour les grandes puissances notamment avec la construction de voitures ",6,5,5,3,3,4,3,3,4,3,4,1,4,1,6,6,6,6,7,7,7,4,4,4,1,18,1,3.66666666666667,3.33333333333333,2.5,6,7,4,4,"   Je pense pas être maître du véhicule du fait de sa communication avec les autres voitures il dispose de plus d’informations  que moi . Et je pense que la 5g n’améliorera pas la vie humaine et nous rendra dépendants de l’informatique et l’humanité développera une addition encore plus grande sur la technologie et sera encore un moyen de suprématie pour les grandes puissances notamment avec la construction de voitures ","Level2","5G",1,0,0,0.4,0,0.6,0
"","","","En ayant un dispositif de sécurité lié à un système informatique, le système contrôle les erreurs humaine, il n'y a pas une maîtrise du véhicule mais une coexistante, ll y aura un maîtrise du véhicule uniquement dans le cas d'une parfaite conduite humaine. La 5G, ou un autre système de communication sans fil n'assure pas une réel autonomie d'un véhicule, bien qu'il puisse communiqué avec l'extérieur et appréhender le contexte de circulation, des données transmise peuvent être corrompu ou ",3,7,7,7,7,3,2,7,4,7,3,2,2,3,3,3,2,1,2,1,3,1,1,1,1,35,2,7,4,2.5,2.25,2,1,0,"   En ayant un dispositif de sécurité lié à un système informatique, le système contrôle les erreurs humaine, il n'y a pas une maîtrise du véhicule mais une coexistante, ll y aura un maîtrise du véhicule uniquement dans le cas d'une parfaite conduite humaine. La 5G, ou un autre système de communication sans fil n'assure pas une réel autonomie d'un véhicule, bien qu'il puisse communiqué avec l'extérieur et appréhender le contexte de circulation, des données transmise peuvent être corrompu ou ","Level2","5G",0,0.447368421052632,0.157894736842105,0.00526315789473684,0,0.389473684210526,0
"","","","ce système est intéressant et peut être rassuré. je ne pense pas confier ma sécurité à un réseau qui peut rencontrer des bugs. ",2,2,2,2,2,5,4,2,1,3,5,5,5,5,5,5,4,3,5,5,5,6,7,6,2,22,2,2,3.66666666666667,5,4.25,5,6.33333333333333,5,"   ce système est intéressant et peut être rassuré. je ne pense pas confier ma sécurité à un réseau qui peut rencontrer des bugs. ","Level2","5G",0,0.375,0,0,0.025,0,0.6
"J'imagine avoir le choix. Mon véhicule est autonome mais je peux le contrôler si je le souhaite. Être connecté via le WIFI doit être couplé avec une 5G pour une sécurité optimale ? Difficile de répondre car peut être que le WIFI est accessible par la 5G et je me trompe dans ma réponse ","","","",3,3,5,5,6,3,3,5,6,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,48,2,4.66666666666667,3.66666666666667,3,3,3.33333333333333,2.33333333333333,2,"J'imagine avoir le choix. Mon véhicule est autonome mais je peux le contrôler si je le souhaite. Être connecté via le WIFI doit être couplé avec une 5G pour une sécurité optimale ? Difficile de répondre car peut être que le WIFI est accessible par la 5G et je me trompe dans ma réponse    ","Level5","wifi",0,0.545454545454545,0.272727272727273,0.0454545454545455,0.136363636363636,0,0
"","","je craindrai une défaillance de la connexion internet même si cette dernière est assuré par des alternatives manuelles","",3,2,2,5,2,4,5,3,5,3,3,3,4,4,3,3,4,3,3,5,7,5,5,5,1,23,1,3,4,3.5,3.25,5,5,4,"  je craindrai une défaillance de la connexion internet même si cette dernière est assuré par des alternatives manuelles ","Level2","wifi",0,0,0,0,0,0,1
"","Non je ne suis pas maître de mon véhicule dans cs conditions. Je pense que la connection 5G peux permettre une meilleure conduite dans des conditions normales. Cependant dans l'hypothèse d'une défaillance des la connection la voiture ne sera plus en capacité de conduire de manière sécuritaire le véhicule.","","",7,6,6,6,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,1,1,2,5,3,1,25,1,4.66666666666667,3.33333333333333,2,2,1.33333333333333,3.33333333333333,1," Non je ne suis pas maître de mon véhicule dans cs conditions. Je pense que la connection 5G peux permettre une meilleure conduite dans des conditions normales. Cependant dans l'hypothèse d'une défaillance des la connection la voiture ne sera plus en capacité de conduire de manière sécuritaire le véhicule.  ","Level5","5G",2,0.0916666666666667,0,0.00833333333333333,0,0.9,0
"Je ne me sentirais pas maîtresse de mon véhicule et je pense qu'aujourd'hui, la wifi n'est pas assez puissante pour gérer de tels flux d'information à une telle vitesse","","","",6,2,5,3,1,4,3,5,4,3,2,3,3,3,4,5,3,4,3,3,4,5,6,4,2,20,1,2,4,2.75,4,3.33333333333333,5,2,"Je ne me sentirais pas maîtresse de mon véhicule et je pense qu'aujourd'hui, la wifi n'est pas assez puissante pour gérer de tels flux d'information à une telle vitesse   ","Level5","wifi",0,0,0,1,0,0,0
"","Non, je suis dubitative sur le fonctionnement dans les zones blanche ou casi blanche. Que se passe t il quand il n'y a pas de reseau? en cas de panne générale? ","","",7,2,3,5,2,4,5,3,4,3,4,3,4,3,1,3,1,1,4,3,3,4,4,4,2,23,2,3,4,3.5,1.5,3.33333333333333,4,4," Non, je suis dubitative sur le fonctionnement dans les zones blanche ou casi blanche. Que se passe t il quand il n'y a pas de reseau? en cas de panne générale?   ","Level5","5G",-2,0,0.5,0,0,0,0.5
"","","","Je pense être maître de mon véhicule dans le sens ou je peux reprendre le contrôle dès que je veux et que à ce niveau l'autonomie et d'avantage un coéquipier qu'un pilote. être connecté à la 5G me semble une bonne idée si la 5G est déployée partout même au fin fond de la pampa. Sinon que se passe t-il si la voiture n'arrive plus à capter un signal 5G? ",3,6,6,7,7,2,2,6,7,1,4,2,2,2,1,1,1,1,1,1,2,1,1,1,2,26,1,6.66666666666667,3.33333333333333,2.5,1,1.33333333333333,1,1,"   Je pense être maître de mon véhicule dans le sens ou je peux reprendre le contrôle dès que je veux et que à ce niveau l'autonomie et d'avantage un coéquipier qu'un pilote. être connecté à la 5G me semble une bonne idée si la 5G est déployée partout même au fin fond de la pampa. Sinon que se passe t-il si la voiture n'arrive plus à capter un signal 5G? ","Level2","5G",4,0,0.364705882352941,0.370588235294118,0.00588235294117647,0.258823529411765,0
"","Je ne serai plus maître de mon véhicule , et être connecté via la 5G ne supprimera en aucune façon l'angoisse d'une défaillance technique du système .","","",7,1,1,1,1,7,7,1,1,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,1,64,3,1,5,7,1,7,7,6," Je ne serai plus maître de mon véhicule , et être connecté via la 5G ne supprimera en aucune façon l'angoisse d'une défaillance technique du système .  ","Level5","5G",0,0.4,0,0,0.1,0.5,0
"","","Je me sentirais en sécurité sachant que j'ai la possibilité de reprendre le contrôle du véhicule du fait que la voiture est équipée de manière classique. Cependant, l'utilisation du WIFI pose la question de la couverture réseau actuelle et de ses fameuses ""zones blanches"", le véhicule aura-t-il des problèmes de communications dans ces zones? ","",3,5,6,6,6,3,2,5,5,3,5,2,2,2,2,3,2,2,2,2,2,1,1,1,1,28,3,5.66666666666667,3.33333333333333,2.75,2.25,2,1,2,"  Je me sentirais en sécurité sachant que j'ai la possibilité de reprendre le contrôle du véhicule du fait que la voiture est équipée de manière classique. Cependant, l'utilisation du WIFI pose la question de la couverture réseau actuelle et de ses fameuses ""zones blanches"", le véhicule aura-t-il des problèmes de communications dans ces zones?  ","Level2","wifi",4,0.16,0,0.316,0,0.132,0.392
"","","","Oui je pense être maître de mon véhicule, cependant, je pense que le conducteur peut être tenté de se laisser ""guider"" par la voiture et adopter des comportements à risques (sieste si fatigue, avoir bu car peut penser que c'est moins grave dans cette situation...etc). La connexion via le 5G me semble intéressant mais attention si le réseau est mauvais. Dans tous les cas, le conducteur doit rester attentif en cas de changement. ",4,2,6,2,2,4,5,3,1,3,3,4,5,4,2,3,2,2,4,4,5,4,5,5,2,22,1,2,4,4,2.25,4.33333333333333,4.66666666666667,4,"   Oui je pense être maître de mon véhicule, cependant, je pense que le conducteur peut être tenté de se laisser ""guider"" par la voiture et adopter des comportements à risques (sieste si fatigue, avoir bu car peut penser que c'est moins grave dans cette situation...etc). La connexion via le 5G me semble intéressant mais attention si le réseau est mauvais. Dans tous les cas, le conducteur doit rester attentif en cas de changement. ","Level2","5G",-3,0,0.538888888888889,0,0,0,0.461111111111111
"","","Le niveau 2 me paraît être un niveau acceptable de compromis entre ma conduite et la conduite par l’intelligence artificielle. je ne suis pas encore sure que nous sommes capables de laisser nous faire conduire par le wifi ","",2,3,5,3,2,4,4,3,3,4,5,5,5,5,3,4,4,3,3,3,4,5,3,5,2,26,2,2.66666666666667,3.66666666666667,5,3.5,3.33333333333333,4.33333333333333,4,"  Le niveau 2 me paraît être un niveau acceptable de compromis entre ma conduite et la conduite par l’intelligence artificielle. je ne suis pas encore sure que nous sommes capables de laisser nous faire conduire par le wifi  ","Level2","wifi",5,0.00714285714285714,0,0.992857142857143,0,0,0
"","","","Oui je pense être maître de mon véhicule. Je ne me sentirai pas rassurée de laisser la conduite d’une voiture à l’IA",1,1,4,1,1,7,4,1,3,6,1,4,5,5,3,3,3,3,4,5,5,7,7,7,2,22,1,1,4,3.75,3,4.66666666666667,7,6,"   Oui je pense être maître de mon véhicule. Je ne me sentirai pas rassurée de laisser la conduite d’une voiture à l’IA","Level2","5G",0,0,0,0.35,0,0.65,0
"","Non, peur que la connexion soit instable, de rouler dans des zones où la connexion est de moins bonne qualité, perte de confiance ","","",7,1,2,1,4,6,5,2,1,2,4,4,6,6,5,6,2,2,7,3,7,7,7,7,2,22,1,2,4.33333333333333,5,3.75,5.66666666666667,7,5," Non, peur que la connexion soit instable, de rouler dans des zones où la connexion est de moins bonne qualité, perte de confiance   ","Level5","5G",-4,0,0.176470588235294,0,0,0,0.823529411764706
"","","","Oui si je peux réagir, il faut pas une surcharge du réseau c'est faisable mais pas adapté à toutes les zones",3,4,3,6,5,3,4,4,1,2,3,1,2,1,2,3,1,1,2,2,2,1,3,3,2,23,2,5,3.66666666666667,1.75,1.75,2,2.33333333333333,3,"   Oui si je peux réagir, il faut pas une surcharge du réseau c'est faisable mais pas adapté à toutes les zones","Level2","5G",-1,0,0,0,0.02,0,0.98
"","","","Oui, être connecté à la 5G peut être un danger si problème de réseau ou de technique, ce n'est pas encore très fiable",3,4,4,2,2,6,6,3,3,3,4,4,4,4,2,2,3,2,4,5,5,4,5,6,1,24,1,2.66666666666667,5,4,2.25,4.66666666666667,5,4,"   Oui, être connecté à la 5G peut être un danger si problème de réseau ou de technique, ce n'est pas encore très fiable","Level2","5G",-1,0,0,0,1,0,0
"","Je ne me sens pas maître de mon véhicule. En effet, je ne suis pas la personne qui contrôle le véhicule mais celui-ci est contrôlé par une IA. Être connectée par 5G est un peu stressant puisque cela implique une surveillance de nos données. De plus, s'il y a un problème d'émissions de données ou de connexion, il se pourrait que le signal soit erroné et que le véhicule effectue une mauvaise manipulation. ","","",7,3,4,5,1,4,4,3,2,3,6,4,5,4,3,3,3,3,5,5,5,4,6,6,2,24,1,3,3.66666666666667,4.75,3,5,5.33333333333333,4," Je ne me sens pas maître de mon véhicule. En effet, je ne suis pas la personne qui contrôle le véhicule mais celui-ci est contrôlé par une IA. Être connectée par 5G est un peu stressant puisque cela implique une surveillance de nos données. De plus, s'il y a un problème d'émissions de données ou de connexion, il se pourrait que le signal soit erroné et que le véhicule effectue une mauvaise manipulation.   ","Level5","5G",-1,0.714285714285714,0,0.285714285714286,0,0,0
"Non car il y a très peu de contrôle sur la voiture. D'autant plus que selon moi, la WiFi peut être piratée ce qui pourrait engendre certains problèmes plus ou moins graves (changement d'itinéraire ou ce genre de choses par exemples)","","","",5,4,3,5,3,3,4,4,2,3,3,3,4,4,3,4,3,3,1,3,2,3,4,3,1,22,1,4,3.66666666666667,3.5,3.25,2,3.33333333333333,3,"Non car il y a très peu de contrôle sur la voiture. D'autant plus que selon moi, la WiFi peut être piratée ce qui pourrait engendre certains problèmes plus ou moins graves (changement d'itinéraire ou ce genre de choses par exemples)   ","Level5","wifi",-1,0,0,0.95,0.0333333333333333,0.0166666666666667,0
"","Je ne pense pas être maître du véhicule. La connexion a la 5g est dangereuse notamment dans le cadre du panne de réseau ou d'une mauvaise connexion/absence de connexion","","",6,2,5,3,1,7,7,2,1,1,5,6,5,5,4,4,3,3,3,5,5,6,5,5,2,22,1,2,5.33333333333333,5.25,3.5,4.33333333333333,5.33333333333333,5," Je ne pense pas être maître du véhicule. La connexion a la 5g est dangereuse notamment dans le cadre du panne de réseau ou d'une mauvaise connexion/absence de connexion  ","Level5","5G",-1,0,0.0111111111111111,0,0.0888888888888889,0,0.9
"","","Oui je pense être maître de mon véhicule dans la mesure où il m’est possible d’instaurer un dialogue. Une connexion wifi ne me semble pas 100% fiable ","",2,1,1,1,1,6,7,3,3,5,4,5,5,4,5,7,5,5,7,7,7,5,5,6,2,22,1,1,5.33333333333333,4.5,5.5,7,5.33333333333333,4,"  Oui je pense être maître de mon véhicule dans la mesure où il m’est possible d’instaurer un dialogue. Une connexion wifi ne me semble pas 100% fiable  ","Level2","wifi",1,0,0,0,0.7375,0,0.2625
"","","Non je ne pense pas être maître de mon véhicule . La connexion wifi peut ne pas être fiable ainsi le véhicule peut être plus long à réagir ","",5,3,4,4,3,5,6,4,3,5,5,5,4,4,3,4,3,4,3,6,5,4,5,4,2,23,1,3.33333333333333,5,4.5,3.5,4.66666666666667,4.33333333333333,3,"  Non je ne pense pas être maître de mon véhicule . La connexion wifi peut ne pas être fiable ainsi le véhicule peut être plus long à réagir  ","Level2","wifi",0,0,0,0.0142857142857143,0.657142857142857,0,0.328571428571429
"","Je ne pense pas être maître de mon véhicule dans ce cas. Le fait que ça soit connecté via 5G me donne une plus forte sensation de sécurité. ","","",7,4,7,5,3,1,1,5,6,1,2,2,3,3,2,1,1,2,4,4,3,2,4,4,2,22,1,4,2.33333333333333,2.5,1.5,3.66666666666667,3.33333333333333,2," Je ne pense pas être maître de mon véhicule dans ce cas. Le fait que ça soit connecté via 5G me donne une plus forte sensation de sécurité.   ","Level5","5G",0,0.542857142857143,0.457142857142857,0,0,0,0
"Non je ne pense pas être maître de mon véhicule car je ne pourrais rien contrôlé. Le fait d'être connecté en WiFi pose le problème de la sécurité des données, donc il faudrait avoir l'assurance que la connexion soit correctement protégé ","","","",3,5,5,3,2,4,4,5,3,3,5,4,4,5,2,4,2,2,2,2,2,4,5,4,2,22,1,3.33333333333333,4.33333333333333,4.5,2.5,2,4.33333333333333,2,"Non je ne pense pas être maître de mon véhicule car je ne pourrais rien contrôlé. Le fait d'être connecté en WiFi pose le problème de la sécurité des données, donc il faudrait avoir l'assurance que la connexion soit correctement protégé    ","Level5","wifi",-1,0.627272727272727,0,0.345454545454545,0,0,0.0272727272727273
"","","Oui car ce n’est que du niveau 2 donc ça libère un peu de pression mais il faut quand même être attentif et prêt à intervenir. ","",3,4,5,5,5,4,5,5,2,2,3,3,3,2,3,2,3,2,5,5,6,7,7,7,1,23,2,4.66666666666667,4.66666666666667,2.75,2.5,5.33333333333333,7,2,"  Oui car ce n’est que du niveau 2 donc ça libère un peu de pression mais il faut quand même être attentif et prêt à intervenir.  ","Level2","wifi",1,0,0,1,0,0,0
"","Très intéressant mais sûrement un peu stressant au début parce que c'est tout nouveau et qu'on ne sait pas où on va exactement","","",3,4,4,4,3,2,2,4,3,2,4,2,2,2,2,2,2,2,2,2,4,3,3,3,2,57,2,3.66666666666667,2.66666666666667,2.5,2,2.66666666666667,3,3," Très intéressant mais sûrement un peu stressant au début parce que c'est tout nouveau et qu'on ne sait pas où on va exactement  ","Level5","5G",0,0,0,0,0,0,1
"","","","A ce niveau je pense être maitre de mon véhicule. Le fait d'être connecté via la 5G est un peu effrayant. Que se passe til sans connexion ? ",2,1,2,3,1,4,3,1,2,3,3,2,5,4,5,4,3,3,2,2,1,5,6,7,2,21,1,1.66666666666667,2.66666666666667,3.5,3.75,1.66666666666667,6,6,"   A ce niveau je pense être maitre de mon véhicule. Le fait d'être connecté via la 5G est un peu effrayant. Que se passe til sans connexion ? ","Level2","5G",1,0,0,0.975,0,0,0.025
"","Non je ne pense pas être maître de mon véhicule. Tout est automatisé et robotisé, j'aurai l'impression de ne rien contrôler. C'est surtout l'absence de volant et de pédales qui me gêne, je ne pourrais pas reprendre la main.","","",6,3,6,2,3,5,6,3,1,3,1,5,6,5,2,3,5,1,3,3,3,6,6,6,1,22,1,2.66666666666667,4.66666666666667,4.25,2.75,3,6,4," Non je ne pense pas être maître de mon véhicule. Tout est automatisé et robotisé, j'aurai l'impression de ne rien contrôler. C'est surtout l'absence de volant et de pédales qui me gêne, je ne pourrais pas reprendre la main.  ","Level5","5G",0,0,0,0,0.7,0.3,0
