"L5W","L55G","L2W","L25G","Control","TA1","TA2","TA3","TA4","PS1","PS2","PS3","PS4","PS5","TT1","TT2","TT3","TT4","EE1","EE2","EE3","EE4","PE1","PE2","PE3","BI1","BI2","BI3","gender","age","occupation","TA","PS","TT","EE","PE","BI","PS3_rev","Text","Level","Network","sentiment","TOPIC1","TOPIC2","TOPIC3","TOPIC4","TOPIC5","TOPIC6"
"","Je préfère lasser le possibilité de conduire dans la voiture automatique, car je ne crois pas que 5G vas être présenté partout. En plus, je ne crois pas que la connexion via 5G peut être fiable","","",6,3,2,6,3,4,4,5,2,2,3,3,3,5,3,3,2,2,2,3,4,4,5,6,2,26,3,4,4.33333333333333,3.5,2.5,3,5,2," Je préfère lasser le possibilité de conduire dans la voiture automatique, car je ne crois pas que 5G vas être présenté partout. En plus, je ne crois pas que la connexion via 5G peut être fiable  ","Level5","5G",2,0,0,0.333333333333333,0.5,0,0.166666666666667
"Je ne pense pas être maître de mon véhicule, aucun problème pour le fait d’être connecté via le wifi","","","",1,2,5,1,1,5,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,25,2,1.33333333333333,3,1.5,1,1,1,4,"Je ne pense pas être maître de mon véhicule, aucun problème pour le fait d’être connecté via le wifi   ","Level5","wifi",0,0,0,0.8625,0.0625,0.075,0
"","Non, car c'est ne pas moi qui ""gère"" la voiture ou effectue la conduite. J'ai mes doutes sur la 5G car c'est une toute nouvelle technologie dont je n'ai pas assez d'informations.","","",7,3,2,5,5,3,2,5,4,3,3,2,3,3,2,2,2,2,1,4,3,3,3,3,2,26,1,4.33333333333333,3.33333333333333,2.75,2,2.66666666666667,3,2," Non, car c'est ne pas moi qui ""gère"" la voiture ou effectue la conduite. J'ai mes doutes sur la 5G car c'est une toute nouvelle technologie dont je n'ai pas assez d'informations.  ","Level5","5G",0,0,0,1,0,0,0
"","","","Oui en partie. Mais j'aurai toujours l'appréhension de ne pas toujours maîtriser la technologie (mauvaise manipulation de ma part, incompréhension du fonctionnement etc.) Je n'ai pas non plus de connaissances précises des possibilités techniques offertes par la 5G, je me sens du coup dépassée technologiquement",2,1,2,1,1,4,4,3,2,5,3,4,5,4,5,5,5,4,3,3,2,6,6,6,2,41,2,1,3.66666666666667,4,4.75,2.66666666666667,6,4,"   Oui en partie. Mais j'aurai toujours l'appréhension de ne pas toujours maîtriser la technologie (mauvaise manipulation de ma part, incompréhension du fonctionnement etc.) Je n'ai pas non plus de connaissances précises des possibilités techniques offertes par la 5G, je me sens du coup dépassée technologiquement","Level2","5G",-3,0,0,1,0,0,0
"Non je ne pense pas être maître du véhicule, n’ayant pas de volants ou de pédales. Concernant la wifi je pense que cela est piratable","","","",1,3,6,7,7,3,3,5,3,3,3,3,3,3,3,3,3,3,1,1,1,6,6,6,1,23,1,5.66666666666667,3.66666666666667,3,3,1,6,2,"Non je ne pense pas être maître du véhicule, n’ayant pas de volants ou de pédales. Concernant la wifi je pense que cela est piratable   ","Level5","wifi",-1,0,0,0,1,0,0
"","","Oui, je pense être le maître de mon véhicule. La connexion WiFi doit être stable et forte pour être satisfaisante","",2,6,5,3,3,2,5,6,5,2,1,2,2,3,1,2,2,2,2,2,2,2,6,3,1,22,1,4,4.33333333333333,2,1.75,2,3.66666666666667,1,"  Oui, je pense être le maître de mon véhicule. La connexion WiFi doit être stable et forte pour être satisfaisante ","Level2","wifi",3,0,0.0666666666666667,0,0,0,0.933333333333333
"Je ne pense pas être maître du véhicule puisque je ne pourrai pas prendre le contrôle, par contre l'IA sera maître du véhicule et en aura l'usage. Être connecté en wifi est une bonne chose, tant que cela fonctionne, à voir comment se comporte le véhicule en cas de disfonctionnement du réseau","","","",7,5,5,5,5,2,2,5,5,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,1,23,1,5,3,2.25,2,2,2.33333333333333,2,"Je ne pense pas être maître du véhicule puisque je ne pourrai pas prendre le contrôle, par contre l'IA sera maître du véhicule et en aura l'usage. Être connecté en wifi est une bonne chose, tant que cela fonctionne, à voir comment se comporte le véhicule en cas de disfonctionnement du réseau   ","Level5","wifi",0,0.123529411764706,0.417647058823529,0.00588235294117647,0.447058823529412,0.00588235294117647,0
"","","","A la question pensez-vous être maître du véhicule, la réponse est oui car je peux toujours reprendre le contrôle de l'ensemble des décisions. Sur la 5G, j'ai des doutes sur la couverture et sur l'absence de communication avec les véhicules non connectés",1,6,4,7,6,2,3,4,3,1,2,1,2,2,1,3,1,2,1,7,3,2,2,2,1,53,2,6.33333333333333,3,1.75,1.75,3.66666666666667,2,3,"   A la question pensez-vous être maître du véhicule, la réponse est oui car je peux toujours reprendre le contrôle de l'ensemble des décisions. Sur la 5G, j'ai des doutes sur la couverture et sur l'absence de communication avec les véhicules non connectés","Level2","5G",0,0.0909090909090909,0.3,0.227272727272727,0.0545454545454545,0.327272727272727,0
"Je préfère les voiture classique.  Pour ceux qui aiment conduire, ce n’est plus le même plaisir. Il y a aussi la connection, comment faisons-nous s’il y a des problèmes de connexion ? Je n’ai pas confiance ","","","",6,1,4,1,1,5,4,1,1,7,7,7,7,7,1,4,2,1,4,3,4,7,7,7,2,23,1,1,3.33333333333333,7,2,3.66666666666667,7,6,"Je préfère les voiture classique.  Pour ceux qui aiment conduire, ce n’est plus le même plaisir. Il y a aussi la connection, comment faisons-nous s’il y a des problèmes de connexion ? Je n’ai pas confiance    ","Level5","wifi",4,0,0,0.145454545454545,0,0.290909090909091,0.563636363636364
"","","","OUI je pense rester maître de mon véhicule / Etre connecté en 5G nous permet d'être averti en temps réel sur la circulation et les changements climatiques ",3,3,5,5,3,5,5,2,1,3,3,5,6,6,3,3,3,3,3,3,3,5,5,6,1,23,1,3.66666666666667,4,5,3,3,5.33333333333333,5,"   OUI je pense rester maître de mon véhicule / Etre connecté en 5G nous permet d'être averti en temps réel sur la circulation et les changements climatiques ","Level2","5G",0,0,0,0,0.8,0.2,0
"","","Je pense être le maître de mon véhicule et le wifi ne me dérange pas tant qu'il n'est connecté qu'à la partie ""technique"" de la voiture (-c'est à dire pas l'auto-radio, mon gps ou des outils qui peuvent donner des données de vie privée aux autres véhicules)","",3,3,6,3,6,4,5,5,5,3,3,3,3,3,5,4,3,5,3,6,6,4,6,5,2,23,1,4,4.66666666666667,3,4.25,5,5,2,"  Je pense être le maître de mon véhicule et le wifi ne me dérange pas tant qu'il n'est connecté qu'à la partie ""technique"" de la voiture (-c'est à dire pas l'auto-radio, mon gps ou des outils qui peuvent donner des données de vie privée aux autres véhicules) ","Level2","wifi",1,0.3,0,0.44,0.02,0.24,0
"","Ne pas enlever les pédales et le volant. En cas de problème le conducteur peut agir. Que la 5g soit une aide pour certains trajets. Ça sécurise de pouvoir reprendre la main sur la voiture.","","",3,3,3,3,3,5,4,3,2,3,4,3,4,3,1,2,2,2,2,3,2,3,3,3,2,22,1,3,4,3.5,1.75,2.33333333333333,3,4," Ne pas enlever les pédales et le volant. En cas de problème le conducteur peut agir. Que la 5g soit une aide pour certains trajets. Ça sécurise de pouvoir reprendre la main sur la voiture.  ","Level5","5G",1,0,0.488888888888889,0.144444444444444,0,0.366666666666667,0
"","","","oui car je peu prendre toute les décisions. 5G oui mais d'autres systèmes pourraient pourraient être étudiés (0G cf Sigfox, Edge ?) Je n'ai pas beosin d'infos en permanence seulement en cas de prise de décision, de danger le capteur n'a pas a transmettre de l'infos en permanence",1,6,3,6,6,2,3,3,3,3,3,2,2,2,3,1,3,3,3,3,3,3,3,3,1,56,2,6,2.66666666666667,2.25,2.5,3,3,4,"   oui car je peu prendre toute les décisions. 5G oui mais d'autres systèmes pourraient pourraient être étudiés (0G cf Sigfox, Edge ?) Je n'ai pas beosin d'infos en permanence seulement en cas de prise de décision, de danger le capteur n'a pas a transmettre de l'infos en permanence","Level2","5G",-3,0,0.333333333333333,0,0,0.666666666666667,0
"Evidemment pas maître du véhicule et à la merci du logiciel de conduite, donc la réponse est non. Pour la dexième question, je n'ai pas de soucis particuliers si ce n'est qu'il faut une connection redondante (au moins 3 chemins) et sécurisée (mieux que WAP2)","","","",7,5,7,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,1,56,2,5,3.66666666666667,3,3,4,3,2,"Evidemment pas maître du véhicule et à la merci du logiciel de conduite, donc la réponse est non. Pour la dexième question, je n'ai pas de soucis particuliers si ce n'est qu'il faut une connection redondante (au moins 3 chemins) et sécurisée (mieux que WAP2)   ","Level5","wifi",0,0,0,0,0,1,0
"","","","Si la 5g est sure et que mon vehicule l ai aussi, je n ai aucun problème, je voudrzis bien alterner entre conduite manuelle et automatique, et tout depend aussi du prix de la voiture",1,7,7,7,7,4,4,2,3,3,2,1,1,1,1,1,1,1,1,2,4,3,3,3,1,26,1,7,3.33333333333333,1.25,1,2.33333333333333,3,5,"   Si la 5g est sure et que mon vehicule l ai aussi, je n ai aucun problème, je voudrzis bien alterner entre conduite manuelle et automatique, et tout depend aussi du prix de la voiture","Level2","5G",1,0,0,0.4125,0,0.5875,0
"Oui, et être connecté via le Wifi est une idée impressionnante pour moi, parce que personnellement je trouve que ça est très avancé par rapport aux technologies, aux méthodes et aux techniques  qu’on sache déjà sur le potentiel de la technologie informatique ","","","",1,7,7,7,4,3,3,7,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,32,2,6,4.33333333333333,1.5,1,1.33333333333333,1,0,"Oui, et être connecté via le Wifi est une idée impressionnante pour moi, parce que personnellement je trouve que ça est très avancé par rapport aux technologies, aux méthodes et aux techniques  qu’on sache déjà sur le potentiel de la technologie informatique    ","Level5","wifi",1,0,0,1,0,0,0
"Non mais cela n’est pas nécessaire. Potentiel risque de confidentialité des données mais gage de davantage de sécurité ","","","",7,7,7,7,7,1,2,7,5,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,2,25,2,7,3.33333333333333,1,2,2.33333333333333,1,0,"Non mais cela n’est pas nécessaire. Potentiel risque de confidentialité des données mais gage de davantage de sécurité    ","Level5","wifi",-1,1,0,0,0,0,0
"","","","Je pense que l'autonomie des véhicules serait un plus car nous pourrions concevoir une infrastructures plus intelligente. Je pense cependant que cela implique des changements sur ladite infrastructures trop important pour être viable dand un futur proche. Je suis convaincu de l'intérêt économique et écologique du véhicule autonome. Je ne comprends pas l'engouement pour la 5G. Mon téléphone est suffisamment performant dans sa connectivité. J'aimerais plutôt que l'infrastructure fibre soit finalis",4,7,7,7,7,2,3,5,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,24,2,7,3.33333333333333,1.5,1,1,1,2,"   Je pense que l'autonomie des véhicules serait un plus car nous pourrions concevoir une infrastructures plus intelligente. Je pense cependant que cela implique des changements sur ladite infrastructures trop important pour être viable dand un futur proche. Je suis convaincu de l'intérêt économique et écologique du véhicule autonome. Je ne comprends pas l'engouement pour la 5G. Mon téléphone est suffisamment performant dans sa connectivité. J'aimerais plutôt que l'infrastructure fibre soit finalis","Level2","5G",1,1,0,0,0,0,0
"","","Oui je pense rester maitre de mon véhicule parce que ce niveau est plus une aide qu'une réelle conduite autonome du véhicule. Pour la wifi, attention aux dérives liées a la surveillance et aux libertés de chacun","",3,3,6,6,4,3,4,5,3,3,2,2,2,3,2,2,1,1,3,4,4,3,4,5,1,26,2,4.33333333333333,4,2.25,1.5,3.66666666666667,4,2,"  Oui je pense rester maitre de mon véhicule parce que ce niveau est plus une aide qu'une réelle conduite autonome du véhicule. Pour la wifi, attention aux dérives liées a la surveillance et aux libertés de chacun ","Level2","wifi",2,0.583333333333333,0,0.416666666666667,0,0,0
"","","","Catégorie 2: non seulement maître mais responsable de la conduite... Un véhicule autonome doit l être sur tous les plans et ne doit pas reposer sur l utilisation de données externes pour fonctionner",1,7,7,7,7,2,2,2,1,2,4,2,2,2,1,1,1,4,3,7,7,2,4,4,1,40,2,7,2,2.5,1.75,5.66666666666667,3.33333333333333,5,"   Catégorie 2: non seulement maître mais responsable de la conduite... Un véhicule autonome doit l être sur tous les plans et ne doit pas reposer sur l utilisation de données externes pour fonctionner","Level2","5G",0,1,0,0,0,0,0
"","","","Je pense garder un certain contrôle de mon véhicule, seulement cela demande une confiance en la technologie utilisée pour vraiment lâcher prise, la 5g est un sujet qui au premier abord ne m’attire pas car je pense qu’il faudrait plus de recul pour son impact sur la santé ",2,2,3,4,2,6,5,5,2,4,4,4,5,4,4,4,3,3,4,3,3,7,7,7,2,25,2,2.66666666666667,5.33333333333333,4.25,3.5,3.33333333333333,7,2,"   Je pense garder un certain contrôle de mon véhicule, seulement cela demande une confiance en la technologie utilisée pour vraiment lâcher prise, la 5g est un sujet qui au premier abord ne m’attire pas car je pense qu’il faudrait plus de recul pour son impact sur la santé ","Level2","5G",3,0,0,0.666666666666667,0,0,0.333333333333333
"","","oui pour la conduite, non pour le wifi car cette solution me semble inutile puisque des communications et les capteurs sont déjà là via d'autres technos ","",3,2,4,4,4,3,3,3,2,3,3,4,5,4,4,4,3,4,4,4,4,4,4,4,1,53,2,3.33333333333333,3,4,3.75,4,4,4,"  oui pour la conduite, non pour le wifi car cette solution me semble inutile puisque des communications et les capteurs sont déjà là via d'autres technos  ","Level2","wifi",-2,0,0,0.02,0.19,0.79,0
"","","Le fait de permettre de ne plus faire attention implique qu’on ne fera plus attention et donc la voiture doit être complètement autonome même pour les manœuvres délicates. Pour la connexion entre voitures même pour une voiture non autonome cela peut être intéressant (va anticipation en fonction de l’itinéraire du gps, alerte freinage d’urgence sur plusieurs km, etc...)","",6,2,1,4,3,1,1,5,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,36,2,3,2.33333333333333,2,1,1,1,2,"  Le fait de permettre de ne plus faire attention implique qu’on ne fera plus attention et donc la voiture doit être complètement autonome même pour les manœuvres délicates. Pour la connexion entre voitures même pour une voiture non autonome cela peut être intéressant (va anticipation en fonction de l’itinéraire du gps, alerte freinage d’urgence sur plusieurs km, etc...) ","Level2","wifi",0,0.375,0,0.00625,0,0.0625,0.55625
"","","","Oui je pense rester maitre de mon véhicule sans que cela me contraigne (si juste un bip de rappel à l'ordre?)Cela est surtout intéressant dans une grosse aglomeration",2,3,4,4,3,4,1,4,1,1,1,3,4,4,1,4,1,1,3,1,1,4,4,4,2,33,2,3.33333333333333,3,3,1.75,1.66666666666667,4,3,"   Oui je pense rester maitre de mon véhicule sans que cela me contraigne (si juste un bip de rappel à l'ordre?)Cela est surtout intéressant dans une grosse aglomeration","Level2","5G",1,0.025,0,0,0.05,0,0.925
"Oui et non. oui parce qu’on est maître de choisir d’où on part et où on veut aller mais non parce qu’on n’est pas maître de comment on y va. Pour le wifi c’est bien mais encore faut-il que toutes les voitures aient le même dispositif pour que ce soit efficace","","","",1,5,6,6,5,4,3,5,3,3,5,3,3,3,1,2,2,1,2,2,2,1,2,2,1,23,1,5.33333333333333,4,3.5,1.5,2,1.66666666666667,2,"Oui et non. oui parce qu’on est maître de choisir d’où on part et où on veut aller mais non parce qu’on n’est pas maître de comment on y va. Pour le wifi c’est bien mais encore faut-il que toutes les voitures aient le même dispositif pour que ce soit efficace   ","Level5","wifi",3,0,0,0,0.74,0.02,0.24
"","","","Je ne serais pas sereine de savoir que ma conduite peut être altérée par mon propre véhicule. Quant aux ondes de la 5G je ne pense pas que cela soit vraiment bon pour notre corps et la nature. Les ondes sont partout aujourd'hui mais de la à les ajouter sur des voitures particulières. Peut-être sur des taxis ou transports en communs, pourquoi pas effectivement.",5,1,7,1,1,7,5,3,1,3,4,2,4,4,5,5,5,4,6,6,5,7,7,7,2,19,2,1,5,3.5,4.75,5.66666666666667,7,4,"   Je ne serais pas sereine de savoir que ma conduite peut être altérée par mon propre véhicule. Quant aux ondes de la 5G je ne pense pas que cela soit vraiment bon pour notre corps et la nature. Les ondes sont partout aujourd'hui mais de la à les ajouter sur des voitures particulières. Peut-être sur des taxis ou transports en communs, pourquoi pas effectivement.","Level2","5G",3,0,0.5,0.483333333333333,0,0.0166666666666667,0
"","","","Oui je pense être maître du véhicule car je peux reprendre la main et executer des manoeuvres. C'est une très bonne chose d'être connecté via la 5G : le véhicule prend en compte plus d'informations.",3,6,6,7,7,2,1,6,5,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,25,1,6.66666666666667,3,1,1.5,1.33333333333333,1.33333333333333,1,"   Oui je pense être maître du véhicule car je peux reprendre la main et executer des manoeuvres. C'est une très bonne chose d'être connecté via la 5G : le véhicule prend en compte plus d'informations.","Level2","5G",1,0.28,0.72,0,0,0,0
"","","","La 5G me dérange car aucun recule et zone sans réseau - oui maître du véhicule car on peut reprendre la main",3,3,5,5,6,7,7,7,3,3,5,6,5,5,1,1,1,1,1,1,3,5,5,5,2,31,2,4.66666666666667,7,5.25,1,1.66666666666667,5,0,"   La 5G me dérange car aucun recule et zone sans réseau - oui maître du véhicule car on peut reprendre la main","Level2","5G",0,0,0.4,0,0.0444444444444444,0,0.555555555555556
"","","Aucun problème pour ce niveau comme pour les autres si cela ne développe pas la Consommation d’énergie !","",2,7,7,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,58,2,7,3,1,1,3,1,0,"  Aucun problème pour ce niveau comme pour les autres si cela ne développe pas la Consommation d’énergie ! ","Level2","wifi",1,0.02,0,0.94,0,0,0.04
"Personnellement, laisser mon vehicule se conduire seul ne me rassurerez pas forcement. Si un probleme concernant la fonction wifi, la fonction automatique du vehicule survenait, comment prendre le relais si la voiture ne possede ni volant, ni frein.. ","","","",5,3,4,3,4,4,3,4,2,4,4,3,4,4,5,3,3,4,4,4,4,6,6,6,2,25,2,3.33333333333333,3.66666666666667,3.75,3.75,4,6,3,"Personnellement, laisser mon vehicule se conduire seul ne me rassurerez pas forcement. Si un probleme concernant la fonction wifi, la fonction automatique du vehicule survenait, comment prendre le relais si la voiture ne possede ni volant, ni frein..    ","Level5","wifi",2,0,0,0.9,0,0.1,0
"","","C’est risqué en cas de défaillance technologique, un problème de connexion, il peut se passer pleins de choses perturbant son bon fonctionnement. Je n’aurais jamais confiance à 100% en ces produits technologiques. ","",2,3,5,3,2,5,4,2,2,3,5,4,5,5,3,3,3,3,3,4,5,5,5,5,2,23,1,2.66666666666667,3.66666666666667,4.75,3,4,5,5,"  C’est risqué en cas de défaillance technologique, un problème de connexion, il peut se passer pleins de choses perturbant son bon fonctionnement. Je n’aurais jamais confiance à 100% en ces produits technologiques.  ","Level2","wifi",0,0,0.569230769230769,0,0,0,0.430769230769231
"","","Oui. Il est pretique, et surtout avec le 5G. Grâce au wifi, on peut savoir la renouvellement de la situation des routes à l'heure et arriver à connecter les autre appareils intélligentes. En revanche, on prend le risque de sécurité internet et la manque de electricité.","",3,3,2,7,6,1,1,6,5,2,2,1,1,2,2,3,1,2,1,1,1,1,1,1,2,23,1,5.33333333333333,2.66666666666667,1.5,2,1,1,1,"  Oui. Il est pretique, et surtout avec le 5G. Grâce au wifi, on peut savoir la renouvellement de la situation des routes à l'heure et arriver à connecter les autre appareils intélligentes. En revanche, on prend le risque de sécurité internet et la manque de electricité. ","Level2","wifi",-2,0.375,0,0.25,0,0.375,0
"","","Oui je pense être maître du véhicule et je pense que par wifi cela peut être dangereux en en cas de déconnexion involontaire ","",1,5,6,5,6,2,2,6,4,1,4,4,2,2,2,3,3,3,1,1,2,4,4,4,1,19,1,5.33333333333333,3.33333333333333,3,2.75,1.33333333333333,4,1,"  Oui je pense être maître du véhicule et je pense que par wifi cela peut être dangereux en en cas de déconnexion involontaire  ","Level2","wifi",-6,0,0.583333333333333,0,0.4,0.0166666666666667,0
"","","Oui je garde une partie du contrôle de mon véhicule, ces aides à la conduites me paraissent vraiment pratiques, surtout celles qui permettent de se garer sans difficulté. Le wifi cependant ne me conviendrait pas car ce n'est pas un réseau fiable, il peut parfois être très lent ce qui pourrait poser problème pour la transmission d'informations de voiture à voiture.","",1,6,6,6,6,2,5,5,3,2,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,25,1,6,4,3.5,2,2,2,2,"  Oui je garde une partie du contrôle de mon véhicule, ces aides à la conduites me paraissent vraiment pratiques, surtout celles qui permettent de se garer sans difficulté. Le wifi cependant ne me conviendrait pas car ce n'est pas un réseau fiable, il peut parfois être très lent ce qui pourrait poser problème pour la transmission d'informations de voiture à voiture. ","Level2","wifi",1,0,0,0.671428571428571,0.328571428571429,0,0
"","","Non. Je n'ai pas confiance en le wifi actuel car il n'y a pas de zone qui assure la connexion sur une longue dustance sans interruption","",4,1,3,5,5,2,3,3,5,3,5,3,5,5,2,3,3,3,1,1,1,1,2,2,1,40,2,3.66666666666667,2.66666666666667,4.5,2.75,1,1.66666666666667,4,"  Non. Je n'ai pas confiance en le wifi actuel car il n'y a pas de zone qui assure la connexion sur une longue dustance sans interruption ","Level2","wifi",0,0,0,0.05,0.15,0,0.8
"","","Je pense rester maître de mon véhicule. L'assistance n'est là que pour aider à la conduite. Quand bien même un véhicule entièrement autonome ne me ferait pas peur. L'interconnexion wifi est un plus évidement. Cepandant c'est la période de transition ou une partie du parc automobile est interconecté et l'autre non qui sera délicate à gérer.","",4,5,5,5,6,3,4,5,3,2,2,2,2,2,3,2,1,3,2,4,6,2,4,4,1,47,3,5.33333333333333,4,2,2.25,4,3.33333333333333,2,"  Je pense rester maître de mon véhicule. L'assistance n'est là que pour aider à la conduite. Quand bien même un véhicule entièrement autonome ne me ferait pas peur. L'interconnexion wifi est un plus évidement. Cepandant c'est la période de transition ou une partie du parc automobile est interconecté et l'autre non qui sera délicate à gérer. ","Level2","wifi",-1,0.558823529411765,0,0.435294117647059,0,0,0.00588235294117647
"","","Non la connection wifi n'est pas suffisamment fiable car le réseau sera saturé par le nombre de véhicule en communication","",7,7,1,7,7,1,1,7,5,1,4,3,4,1,1,1,1,1,1,4,4,1,1,1,1,65,2,7,3,3,1,3,1,0,"  Non la connection wifi n'est pas suffisamment fiable car le réseau sera saturé par le nombre de véhicule en communication ","Level2","wifi",0,0,0,0.00769230769230769,0.530769230769231,0.461538461538462,0
"","","Non je ne pense pas être maître de mon véhicule. Avec une voiture connectée en WiFi, je n'aurais pas confiance car si la connexion connaît des désagréments, cela pourrait s'avérer dangereux. ","",5,1,3,3,2,5,3,1,1,2,4,3,4,3,3,3,3,3,3,3,4,5,5,5,2,30,2,2,3,3.5,3,3.33333333333333,5,6,"  Non je ne pense pas être maître de mon véhicule. Avec une voiture connectée en WiFi, je n'aurais pas confiance car si la connexion connaît des désagréments, cela pourrait s'avérer dangereux.  ","Level2","wifi",-3,0,0,0,0,0,1
"","","Oui on peut reprendre le controle a tout moment. Le fait d'etre connecté via le wifi aux autres véhicules est un plus pour la sécurité","",1,5,3,4,4,3,3,5,2,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,1,57,2,4.33333333333333,3.66666666666667,3,2,2.33333333333333,2.66666666666667,2,"  Oui on peut reprendre le controle a tout moment. Le fait d'etre connecté via le wifi aux autres véhicules est un plus pour la sécurité ","Level2","wifi",0,0.272727272727273,0,0.454545454545455,0,0.272727272727273,0
"","","Oui je pense être maître de mon véhicule. Je se suis pas vraiment sur de comprendre en quoi la connexion WiFi est nécessaire. ","",3,4,6,5,3,2,5,5,3,3,4,2,3,4,2,4,4,2,2,4,2,4,4,4,2,28,2,4,4,3.25,3,2.66666666666667,4,2,"  Oui je pense être maître de mon véhicule. Je se suis pas vraiment sur de comprendre en quoi la connexion WiFi est nécessaire.  ","Level2","wifi",2,0,0,0,0,0.0333333333333333,0.966666666666667
"","","Plus ou moins, le fait de devoir quand même être réactif pour certaines manœuvres conserve un certain contrôle sur le véhicule. La connexion wifi est plus un gadget .. ","",2,3,5,4,3,4,5,4,3,4,5,4,5,4,3,3,3,3,4,4,4,4,4,4,2,26,2,3.33333333333333,4.33333333333333,4.5,3,4,4,3,"  Plus ou moins, le fait de devoir quand même être réactif pour certaines manœuvres conserve un certain contrôle sur le véhicule. La connexion wifi est plus un gadget ..  ","Level2","wifi",1,0,0,0.9875,0.0125,0,0
"Je ne suis pas maître de mon véhicule, c'est l'intelligence artificielle qui a le contrôle. Je ne pense pas que le wifi soit très fiable comme réseau","","","",7,5,5,5,5,3,3,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,35,2,5,3.66666666666667,3,2,2,2,2,"Je ne suis pas maître de mon véhicule, c'est l'intelligence artificielle qui a le contrôle. Je ne pense pas que le wifi soit très fiable comme réseau   ","Level5","wifi",1,0,0,0,1,0,0
